w,day1,day2,day3,day4,day5,day6
3828.09926,0.00488,0.03764,0.04788,0.06598,0.05155,0.03217
3826.17074,0.00498,0.0377,0.04797,0.06598,0.05155,0.03218
3824.24223,0.00499,0.03769,0.04801,0.06596,0.05161,0.03213
3822.31372,0.005,0.03767,0.04802,0.06593,0.05165,0.03209
3820.3852,0.00505,0.03765,0.04801,0.06596,0.05165,0.0321
3818.45669,0.00513,0.03766,0.048,0.06601,0.05168,0.03216
3816.52818,0.00527,0.03779,0.04807,0.06598,0.05169,0.03229
3814.59966,0.00538,0.03796,0.0482,0.06594,0.05162,0.03239
3812.67115,0.00542,0.03804,0.04833,0.06598,0.05157,0.03237
3810.74264,0.00537,0.03795,0.04836,0.06605,0.05167,0.0323
3808.81412,0.00531,0.0378,0.04827,0.06609,0.05181,0.03227
3806.88561,0.00529,0.03773,0.0482,0.06613,0.0518,0.03228
3804.95709,0.00527,0.03767,0.04819,0.06616,0.05169,0.03231
3803.02858,0.00535,0.03767,0.04824,0.06614,0.05163,0.03242
3801.10007,0.00551,0.03775,0.04828,0.06612,0.05165,0.03253
3799.17155,0.00557,0.03784,0.04831,0.06613,0.05172,0.03256
3797.24304,0.00555,0.03793,0.04838,0.06612,0.05179,0.0325
3795.31453,0.00551,0.03802,0.04842,0.06612,0.0518,0.03245
3793.38601,0.00554,0.03811,0.04845,0.06616,0.05176,0.03247
3791.4575,0.0056,0.03816,0.04848,0.0662,0.05174,0.03255
3789.52899,0.00563,0.03811,0.04846,0.06624,0.05177,0.03256
3787.60047,0.00566,0.03802,0.04841,0.06628,0.0518,0.03253
3785.67196,0.00578,0.03803,0.04845,0.06626,0.05187,0.03259
3783.74345,0.00591,0.03814,0.04857,0.06616,0.052,0.03271
3781.81493,0.00602,0.03826,0.04864,0.06615,0.05214,0.03281
3779.88642,0.00606,0.03826,0.0486,0.06629,0.05224,0.03288
3777.95791,0.00601,0.03818,0.04852,0.06642,0.0523,0.03292
3776.02939,0.0059,0.03814,0.04848,0.06643,0.05227,0.03288
3774.10088,0.0059,0.03818,0.0485,0.06641,0.05217,0.03283
3772.17237,0.0061,0.03829,0.04862,0.06645,0.05214,0.03287
3770.24385,0.00635,0.03843,0.04884,0.06654,0.0522,0.03297
3768.31534,0.00644,0.03849,0.04898,0.06657,0.05224,0.03304
3766.38683,0.0064,0.03846,0.04891,0.06654,0.05227,0.03304
3764.45831,0.00637,0.03843,0.04872,0.06656,0.05236,0.03306
3762.5298,0.0064,0.03842,0.04864,0.06665,0.05253,0.03313
3760.60128,0.00644,0.03838,0.04871,0.06668,0.0527,0.03317
3758.67277,0.00648,0.03839,0.04884,0.06666,0.05279,0.03319
3756.74426,0.00654,0.03852,0.04896,0.0667,0.05281,0.0333
3754.81574,0.0066,0.03868,0.04908,0.06683,0.05285,0.03347
3752.88723,0.00675,0.03879,0.0492,0.06689,0.05289,0.03362
3750.95872,0.00702,0.03885,0.04927,0.06685,0.05292,0.03374
3749.0302,0.00724,0.0389,0.04929,0.06687,0.053,0.03385
3747.10169,0.00729,0.03893,0.04925,0.06694,0.05313,0.03392
3745.17318,0.00735,0.039,0.0492,0.06694,0.05327,0.03397
3743.24466,0.00738,0.03903,0.0491,0.0669,0.0533,0.03399
3741.31615,0.00733,0.03905,0.04911,0.06696,0.05327,0.03397
3739.38764,0.0073,0.03912,0.04922,0.06712,0.05328,0.03392
3737.45912,0.00736,0.0392,0.04931,0.0673,0.05342,0.0339
3735.53061,0.00751,0.03925,0.04938,0.06743,0.05356,0.03398
3733.6021,0.00766,0.03932,0.04956,0.06752,0.05363,0.03417
3731.67358,0.00787,0.03953,0.04986,0.06761,0.05382,0.03441
3729.74507,0.00804,0.03982,0.05007,0.06774,0.05392,0.03465
3727.81656,0.00816,0.04007,0.05013,0.06784,0.05414,0.03471
3725.88804,0.00831,0.04021,0.0501,0.0679,0.05415,0.0348
3723.95953,0.00848,0.0403,0.05016,0.068,0.05432,0.03489
3722.03102,0.00869,0.04042,0.0503,0.06819,0.05449,0.03508
3720.1025,0.00892,0.04056,0.05041,0.06841,0.0547,0.03531
3718.17399,0.00915,0.0407,0.05057,0.06865,0.05502,0.0355
3716.24547,0.00939,0.04086,0.0508,0.0689,0.05523,0.03574
3714.31696,0.00967,0.04112,0.05106,0.06916,0.05545,0.03607
3712.38845,0.00998,0.04146,0.05132,0.06941,0.05576,0.03648
3710.45993,0.0103,0.04177,0.05158,0.06966,0.05611,0.03688
3708.53142,0.01059,0.04204,0.05181,0.06999,0.05644,0.03722
3706.60291,0.01087,0.04238,0.05198,0.0704,0.05679,0.0375
3704.67439,0.01116,0.04279,0.05222,0.07085,0.05724,0.0378
3702.74588,0.0115,0.04321,0.05263,0.07132,0.05771,0.03819
3700.81737,0.01194,0.04365,0.05314,0.07178,0.05824,0.03864
3698.88885,0.01253,0.04419,0.05367,0.07221,0.05878,0.0392
3696.96034,0.01317,0.04483,0.05418,0.07265,0.05932,0.03987
3695.03183,0.01371,0.04549,0.05469,0.07317,0.05995,0.04056
3693.10331,0.01426,0.04618,0.05519,0.07387,0.0608,0.04125
3691.1748,0.01493,0.04689,0.05574,0.07471,0.06175,0.04195
3689.24629,0.01569,0.0476,0.05639,0.0755,0.06254,0.04268
3687.31777,0.01649,0.0484,0.05716,0.07628,0.06326,0.04353
3685.38926,0.01734,0.0494,0.05803,0.07716,0.06415,0.0445
3683.46075,0.01823,0.05043,0.05894,0.07812,0.06519,0.04549
3681.53223,0.01911,0.05134,0.0598,0.07913,0.06626,0.04653
3679.60372,0.02004,0.0523,0.06066,0.0802,0.06741,0.04772
3677.67521,0.0211,0.05352,0.06165,0.08128,0.06865,0.04899
3675.74669,0.02231,0.05493,0.06286,0.0824,0.06993,0.05028
3673.81818,0.0236,0.05628,0.06416,0.08363,0.07122,0.05161
3671.88966,0.02493,0.0576,0.06545,0.08497,0.07255,0.05299
3669.96115,0.02632,0.05898,0.06666,0.08636,0.07402,0.0544
3668.03264,0.02777,0.0605,0.06793,0.08785,0.07558,0.05593
3666.10412,0.02926,0.06213,0.06939,0.08944,0.07714,0.05759
3664.17561,0.03072,0.06378,0.07092,0.09103,0.07872,0.05931
3662.2471,0.0321,0.06546,0.07239,0.09254,0.08041,0.06102
3660.31858,0.03349,0.06714,0.0738,0.09403,0.08221,0.06268
3658.39007,0.03494,0.06878,0.07523,0.09555,0.08396,0.06431
3656.46156,0.03642,0.07035,0.07671,0.09705,0.0856,0.0659
3654.53304,0.03788,0.0719,0.07812,0.09858,0.08726,0.06749
3652.60453,0.03942,0.07359,0.07953,0.10021,0.08898,0.06916
3650.67602,0.04108,0.07541,0.08105,0.10183,0.09063,0.07096
3648.7475,0.04269,0.07713,0.08261,0.10334,0.09222,0.07278
3646.81899,0.04421,0.07871,0.08414,0.10483,0.0939,0.07451
3644.89048,0.04571,0.08032,0.08561,0.1064,0.09566,0.07614
3642.96196,0.04723,0.08197,0.08705,0.10805,0.09739,0.07773
3641.03345,0.04877,0.08363,0.08852,0.10964,0.09906,0.07945
3639.10494,0.05027,0.08525,0.09005,0.11113,0.10071,0.08129
3637.17642,0.05172,0.08682,0.09157,0.11264,0.10235,0.08308
3635.24791,0.05314,0.08839,0.09301,0.11419,0.10391,0.08472
3633.3194,0.05453,0.08996,0.09433,0.11564,0.10546,0.08621
3631.39088,0.05596,0.09153,0.09566,0.11701,0.10707,0.08767
3629.46237,0.0575,0.0931,0.09712,0.11836,0.10863,0.08923
3627.53385,0.059,0.09458,0.09862,0.11975,0.11023,0.09073
3625.60534,0.06033,0.09602,0.10004,0.12115,0.1117,0.09217
