wavelength,day1,day2,day3,day4,day5,day6
1919,4.316611767,4.127462387,3.864985228,3.875835896,3.926112175,4.413700104
1918,4.474635601,4.141836643,3.924391508,4.047067165,4.021515369,4.407719135
1917,4.42764616,4.131526947,3.907268763,4.012173653,3.888656855,4.407876492
1916,4.33220911,4.304115295,3.978860378,4.0866642,3.965498209,4.469465256
1915,4.5128479,4.259944916,4.104616642,4.007575035,3.983030558,4.444654465
1914,4.624045849,4.182635784,4.155988693,4.031554222,4.080430031,4.566494942
1913,4.536128521,4.2664361,4.091580391,4.228039742,4.076521397,4.544262409
1912,4.304162979,4.036905766,3.990634918,3.976670265,4.034748077,4.518174171
1911,4.560135841,4.146901608,4.133874416,4.15197134,4.091857433,4.420557499
1910,4.366146564,4.041691303,4.138468266,3.96342063,4.035468578,4.395516396
1909,4.399658203,3.921352625,3.978133678,3.805244446,3.94442749,4.430873871
1908,4.24523735,4.120877266,4.020328999,3.96578908,4.029233932,4.346911907
1907,4.538359642,4.141316414,4.111902237,4.050357819,4.15335989,4.483147621
1906,4.256340027,3.849421024,4.055700779,3.895478249,3.913789988,4.360906601
1905,4.817017555,4.464302063,4.256154537,4.340040207,4.383149147,4.725215435
1904,4.590239525,4.31537056,4.188127995,4.167418003,4.235394001,4.625249863
1903,4.825926304,4.369257927,4.316235542,4.430411339,4.381999969,4.887295246
1902,4.459284782,4.204423904,4.229967594,4.194319725,4.240564823,4.552863598
1901,4.657786369,4.468585014,4.373708725,4.3453722,4.372370243,4.71032238
1900,4.674697876,4.288816452,4.26631546,4.186933994,4.224423885,4.648669243
1899,4.642794609,4.296366692,4.213568211,4.321909904,4.146256447,4.683641434
1898,4.610203743,4.309091568,4.176433086,4.245679855,4.204813004,4.526539803
1897,4.801510811,4.514697552,4.309985638,4.32839489,4.444362164,4.910076141
1896,4.857771397,4.528511524,4.405883312,4.396196842,4.338952541,4.792653561
1895,4.73536253,4.595562935,4.296984196,4.337193966,4.35888052,4.782308578
1894,4.502258301,4.417634964,4.160292149,4.103890896,4.220784664,4.598166943
1893,4.798756123,4.595789433,4.486870289,4.330722332,4.386051178,4.855423927
1892,4.738661766,4.547570705,4.232527733,4.389818668,4.381419182,4.696546555
1891,4.822527409,4.618720531,4.540056229,4.344166756,4.55756712,4.983380318
1890,4.838770866,4.759477139,4.476549149,4.313712597,4.418758869,4.812425137
1889,4.776561737,4.436028004,4.254626274,4.403707981,4.350127697,4.950603485
1888,4.731144428,4.651729107,4.321131229,4.366465092,4.384412766,4.933362484
1887,4.807948112,4.517949104,4.325886726,4.378734589,4.383450031,4.760790348
1886,4.679745674,4.576368809,4.523191929,4.430682659,4.284202576,4.871278763
1885,4.654857635,4.40631628,4.34010601,4.345850468,4.413476467,4.890126705
1884,4.691906452,4.456737518,4.377590656,4.29519701,4.218335629,4.662491322
1883,4.566663742,4.396161079,4.282866955,4.288924217,4.34570837,4.739716053
1882,4.645006657,4.453996658,4.429857254,4.296881676,4.336276054,4.708408833
1881,4.794671535,4.606174469,4.546593666,4.473535538,4.602221489,4.914868832
1880,4.568324089,4.349323273,4.427720547,4.374284267,4.32397747,4.724051952
1879,4.632524014,4.451024532,4.363276005,4.308189869,4.223609447,4.751039505
1878,4.655211449,4.4801054,4.405488491,4.380917549,4.416080952,4.661566257
1877,4.665612221,4.641657352,4.538633347,4.505502701,4.505612373,4.974993706
1876,4.930282593,4.702250004,4.563235283,4.541512012,4.75852108,5.023270607
1875,4.817245007,4.721086979,4.629972458,4.669606209,4.615706444,4.918180943
1874,4.996978283,4.883428097,4.719124794,4.745310783,4.768638611,5.118965626
1873,4.915479183,4.856358051,4.689930916,4.715754509,4.664803505,5.079250813
1872,4.965061188,5.014835358,4.731022835,4.816699028,4.753294468,5.05805254
1871,5.208478928,4.976294518,4.923080444,4.834110737,4.912209511,5.341112137
1870,5.100534916,5.013809204,4.749735832,4.831677914,4.783265114,5.238509655
1869,5.116807461,5.147402287,4.890751362,4.791611195,4.852931023,5.156465054
1868,5.312406063,5.334498882,5.120712757,5.213484764,5.008025169,5.358766079
1867,5.566821575,5.409822464,5.137135983,5.057891369,5.165485859,5.473312855
1866,5.36036396,5.188347816,5.079445362,5.009206295,5.007194519,5.359481812
1865,5.524749756,5.367093563,5.216235638,5.304717064,5.247601986,5.521570683
1864,5.623795986,5.398067951,5.361861706,5.299398899,5.373463631,5.586637497
1863,5.616216183,5.624189377,5.428713799,5.572146416,5.406539917,5.750475407
1862,5.811635971,5.790230751,5.668179035,5.455047607,5.542316437,5.900645256
1861,5.722913742,5.694948196,5.519663334,5.576144695,5.591998577,5.9437747
1860,6.024294853,5.740454674,5.709946632,5.759681225,5.697009087,5.965399265
1859,5.850257874,5.696841717,5.601577759,5.631847858,5.595785141,6.014879227
1858,6.053560734,5.892543793,5.731995106,5.772987366,5.835844994,6.015816212
1857,5.733038425,5.833218098,5.668254375,5.601792336,5.685406685,5.899687767
1856,5.98592329,5.821959019,5.652618885,5.796581268,5.723405838,6.020551205
1855,6.025924206,5.909934521,5.759263515,5.839549541,5.764730453,6.060951233
1854,5.874604225,5.952826977,5.663312435,5.752744198,5.585011959,6.063306332
1853,5.811688423,5.85750103,5.61453104,5.650506496,5.727075577,5.864136696
1852,5.962472916,5.93132782,5.799188614,5.76022625,5.664560318,5.922080994
1851,5.98679781,6.034002304,5.765912533,5.935722351,5.830969334,6.110606194
1850,5.977360725,5.972848892,5.822132111,5.885891914,5.77421999,6.081427097
1849,6.053416252,6.186476231,5.973668575,5.963596821,5.99575758,6.13489151
1848,5.973927975,5.920112133,5.731517315,5.848092079,5.911793709,5.976485252
1847,6.194922924,6.139717102,6.074531078,5.875322819,5.957654476,6.061947823
1846,6.13803196,6.14718771,6.095713615,6.042211533,6.035767078,6.204331875
1845,6.353008747,6.293976307,6.165253639,6.240912914,6.083185196,6.158781052
1844,6.364793301,6.137777328,6.069676876,6.072113514,6.104544163,6.221822739
1843,6.181633949,6.289113522,6.10665226,6.146801949,6.167200565,6.263348579
1842,6.366128445,6.246518612,6.179656982,6.140263557,6.126048088,6.250851631
1841,6.330551147,6.089228153,6.14125061,6.177392483,6.082514286,6.266012669
1840,6.344623089,6.249824524,6.025938511,6.139938354,6.299369812,6.437494755
1839,6.304197788,6.336329937,6.138362885,6.169857502,6.14410305,6.338042259
1838,6.38031435,6.400791645,6.297593594,6.340208054,6.13795948,6.461228371
1837,6.643043995,6.717905998,6.47695446,6.473927021,6.355766296,6.525465012
1836,6.640474319,6.720774651,6.469211578,6.578420639,6.489214897,6.603773594
1835,6.553325176,6.620458603,6.376492023,6.40938139,6.469462872,6.571521759
1834,6.628775597,6.595929623,6.472043037,6.548286438,6.456431866,6.654712677
1833,6.674675465,6.803503036,6.467132092,6.552200794,6.458166122,6.667307854
1832,6.74505806,6.747568607,6.507009983,6.556683064,6.671256065,6.669227123
1831,6.651491642,6.64324522,6.389583588,6.525835991,6.569088936,6.642141819
1830,6.695857525,6.708931923,6.49997282,6.53898859,6.573003769,6.696805954
1829,6.754223824,6.667780876,6.501469135,6.463887691,6.630887032,6.810797691
1828,6.805720806,6.760303497,6.526512146,6.554256916,6.618566036,6.730927467
1827,6.838637352,6.851881027,6.651504993,6.600683212,6.605224133,6.599546909
1826,6.681891441,6.758312225,6.52238369,6.646533966,6.507667065,6.704393864
1825,6.712224483,6.79468298,6.64588213,6.647559166,6.642148495,6.777861118
1824,6.883292675,6.769753456,6.687940121,6.640360355,6.759680748,6.728255749
1823,6.8795681,6.855224609,6.719524384,6.716244698,6.744358063,6.791639328
1822,6.865086555,6.768836021,6.540961742,6.574680805,6.570932388,6.744466782
1821,6.850995064,6.875740528,6.643257141,6.651587009,6.597622395,6.778579235
1820,6.785310745,6.826236248,6.678830147,6.672754288,6.647916794,6.690512657
1819,6.936187267,6.947755814,6.67719698,6.641571045,6.672438145,6.865995407
1818,6.855743408,6.881783009,6.698147297,6.685266495,6.663767815,6.731473446
1817,6.862517357,6.886125565,6.694962978,6.692896843,6.730409145,6.812111855
1816,6.901334763,6.856670856,6.750175476,6.625264168,6.640428543,6.760859489
1815,6.80237627,6.713522911,6.637031555,6.656966209,6.621502399,6.687721729
1814,6.711836815,6.724904537,6.563625336,6.531883717,6.53115797,6.697210789
1813,6.940373898,6.878940105,6.622649193,6.767354012,6.617294312,6.741844654
1812,6.882427692,6.924836159,6.746719837,6.75273037,6.695741653,6.914730549
1811,6.8358531,6.707930565,6.556756973,6.561648846,6.508271217,6.702876091
1810,6.848165989,6.820946217,6.612925053,6.55539608,6.62395668,6.726385117
1809,6.758569717,6.697563648,6.520543098,6.566741943,6.468251228,6.740857601
1808,6.721664906,6.82099247,6.749254227,6.652148247,6.651527405,6.788667202
1807,6.704486847,6.79249239,6.51922369,6.484386921,6.570010662,6.719876289
1806,6.693537712,6.687924862,6.562268734,6.659626007,6.552879333,6.661234856
1805,6.730918407,6.751458168,6.537861347,6.561392784,6.569284916,6.682656765
1804,6.816343307,6.693233013,6.468223572,6.549313545,6.522414684,6.652073383
1803,6.66740036,6.775841236,6.542935371,6.547441483,6.610953808,6.634794235
1802,6.693176746,6.660599232,6.466979027,6.51097393,6.450383186,6.559463024
1801,6.621620655,6.652895451,6.398202419,6.435784817,6.348294258,6.519587517
1800,6.667773247,6.552975655,6.351374626,6.390226841,6.333381653,6.628309727
1799,6.565487385,6.597812653,6.366954803,6.400413036,6.366894245,6.570743561
1798,6.563507557,6.490646362,6.366558552,6.396213055,6.360338688,6.458665371
1797,6.553583622,6.540241241,6.397315979,6.394430161,6.375347137,6.590694904
1796,6.604267597,6.509020805,6.414774895,6.385148525,6.322499275,6.563006401
1795,6.404563904,6.440817356,6.244142532,6.245728493,6.248295784,6.398828983
1794,6.39820385,6.323052883,6.154578686,6.211204529,6.127997875,6.364035606
1793,6.434933662,6.437765598,6.23728323,6.269482613,6.249084473,6.405688763
1792,6.40781498,6.409890175,6.224522591,6.221895695,6.19367075,6.412299633
1791,6.455453396,6.419023037,6.274795532,6.262182236,6.295772076,6.383343697
1790,6.450796127,6.409610271,6.174973965,6.264009476,6.226918697,6.395175934
1789,6.36973238,6.344019413,6.169669151,6.197867393,6.193306446,6.299026966
1788,6.3637743,6.299257278,6.251232147,6.203307629,6.133330345,6.299398899
1787,6.365085602,6.273753166,6.092010975,6.146949768,6.125367641,6.202843666
1786,6.314968109,6.229643822,6.047371864,6.092107296,6.045870781,6.25461483
1785,6.451434612,6.343563557,6.184014797,6.171347618,6.217995644,6.382565975
1784,6.335911751,6.209338665,6.048674583,6.056079388,6.091371536,6.216668606
1783,6.328516483,6.251553535,6.06583786,6.110187531,6.077511787,6.221313477
1782,6.148614407,6.125210762,6.003726006,6.053928375,6.034579277,6.186336517
1781,6.336633682,6.224020004,6.15726757,6.08669281,5.98278904,6.19126749
1780,6.34844017,6.233299732,6.075761318,6.11068964,6.051122189,6.265441895
1779,6.349768639,6.342609882,6.065365314,6.162700653,6.125759602,6.221302032
1778,6.291895866,6.176202297,6.058905125,6.088879585,6.010211945,6.221184254
1777,6.230884552,6.146145821,5.972482204,6.038821697,6.002717972,6.158343792
1776,6.183175087,6.144972324,5.927839756,5.970157146,5.961570263,6.129461765
1775,6.274177074,6.155105114,6.120849609,6.151295662,6.153243542,6.24109602
1774,6.319962978,6.216199875,6.013964653,6.053753853,6.078919411,6.215124607
1773,6.191168308,6.253211021,6.008181095,6.009935379,6.111765862,6.181195259
1772,6.33783102,6.278811932,6.064889431,6.065366268,6.122314453,6.276506424
1771,6.287556648,6.318077564,6.106480122,6.206356049,6.122974396,6.250520229
1770,6.330283165,6.247795105,6.129066467,6.082155228,6.088891983,6.205748558
1769,6.358104706,6.325490952,6.062635422,6.089614868,6.050891399,6.221814632
1768,6.245084286,6.170446873,6.098690987,6.0309515,6.12049818,6.20006752
1767,6.398045063,6.34291172,6.097388744,6.160131931,6.178276539,6.321900368
1766,6.313452244,6.307385921,6.131111622,6.172633648,6.135198116,6.23837328
1765,6.401217937,6.354767799,6.092743874,6.121865749,6.194159508,6.392161369
1764,6.412587166,6.379157066,6.206947803,6.141780853,6.161878586,6.32156229
1763,6.288600922,6.340683937,6.18901825,6.122224331,6.162920475,6.295875549
1762,6.293261051,6.332536697,6.09426403,6.216931343,6.153515816,6.300348282
1761,6.347139835,6.338434696,6.208310127,6.275641918,6.24492979,6.295227051
1760,6.376131058,6.334806919,6.165057182,6.176499367,6.135588646,6.246999264
1759,6.286038399,6.295251846,6.160501957,6.155151367,6.092558861,6.253067493
1758,6.2709198,6.332782745,6.134797096,6.184601307,6.155879021,6.364758968
1757,6.402952194,6.335997581,6.117796421,6.22640419,6.174153328,6.325217247
1756,6.434094906,6.371620178,6.188794136,6.180605888,6.13533783,6.333229065
1755,6.449631691,6.342300892,6.164861202,6.184513092,6.191678524,6.317089558
1754,6.402373314,6.302914619,6.244020939,6.135891914,6.235140324,6.31994915
1753,6.452491283,6.347979069,6.170246601,6.202831745,6.16177845,6.355207443
1752,6.350759506,6.31048584,6.038024426,6.11440897,6.057299137,6.236162186
1751,6.457132816,6.328076363,6.103384972,6.165986538,6.132126808,6.289700985
1750,6.349247932,6.218485832,6.101624489,6.078127384,6.055125713,6.317764282
1749,6.377653599,6.24592495,6.058382988,6.110595226,6.04182148,6.285937309
1748,6.246132851,6.239173412,6.086999416,6.135626316,6.076874733,6.205315113
1747,6.262759686,6.234060764,6.093420982,6.060527802,6.036944866,6.249720097
1746,6.291678429,6.347412109,6.129456043,6.202385902,6.104207039,6.344285011
1745,6.259925842,6.235516548,5.977176189,6.149780273,6.01661396,6.232926846
1744,6.290110111,6.222838402,6.091765881,6.087654114,6.096307755,6.23512125
1743,6.196046829,6.090694427,6.001452923,5.994179249,5.974028587,6.125820637
1742,6.272245884,6.175577641,6.039861202,6.06765461,5.995092392,6.120429039
1741,6.238713264,6.179202557,6.040507317,6.016877651,6.000666618,6.180832863
1740,6.207180977,6.175081253,5.969511509,6.062319279,5.997973442,6.136789322
1739,6.237365723,6.219497681,6.050147057,6.000296116,5.994951725,6.138059139
1738,6.178148746,6.044703484,5.908961773,5.96719408,5.983016491,6.044502735
1737,6.155658722,6.105588913,5.869065762,5.891109943,5.868854523,6.030481815
1736,6.202926636,6.036934853,5.911702156,5.923409939,5.893028736,6.107465744
1735,6.172139645,6.062317848,5.951967716,5.965680122,5.929949284,6.110643387
1734,6.038366318,5.920891285,5.721209049,5.81547451,5.716173649,5.932614803
1733,6.102561951,5.907500267,5.736300468,5.860800743,5.85340023,5.913901806
1732,6.175184727,5.977712631,5.856529713,5.88765955,5.84159565,6.032541752
1731,6.132613659,6.031095028,5.822697163,5.854954243,5.779006481,5.965777397
1730,6.122293472,6.043908119,5.841683865,5.808143139,5.783759594,6.027499676
1729,6.00269556,5.925882816,5.654643536,5.835467339,5.743871689,5.976939678
1728,6.017102718,5.789898872,5.720716,5.719484806,5.682092667,5.866157055
1727,5.960903168,5.895935535,5.705134392,5.695570469,5.714506626,5.877166271
1726,5.975683689,5.828223228,5.684716702,5.690830231,5.661459446,5.854846478
1725,5.966061592,5.938299179,5.734573841,5.755944729,5.641861439,5.898884296
1724,5.884241104,5.74055481,5.608329296,5.611590862,5.602833271,5.822085381
1723,5.967398167,5.873949528,5.644609928,5.688526154,5.653971672,5.88408041
1722,6.026548386,5.744347095,5.682011127,5.677795887,5.656230927,5.85034132
1721,5.894906998,5.747818947,5.616854668,5.632418156,5.612762451,5.7579422
1720,6.037675858,5.785011768,5.728588104,5.692135811,5.687532425,5.806115627
1719,5.965257645,5.797056198,5.630231857,5.659885406,5.565313816,5.784241676
1718,5.992151737,5.835709095,5.627025127,5.61343956,5.616177082,5.880539417
1717,5.957921028,5.810228348,5.658251762,5.662272453,5.622458458,5.864168644
1716,5.990838051,5.80975771,5.688112736,5.638465881,5.630627632,5.858887196
1715,5.879828453,5.719902515,5.567831039,5.610433102,5.540534973,5.784286022
1714,6.013743401,5.852999687,5.633526802,5.682834625,5.655439854,5.886284828
1713,5.91603899,5.831475735,5.6292696,5.598116398,5.591806412,5.836027622
1712,5.902434349,5.834765911,5.675452232,5.61960268,5.504870892,5.823907852
1711,5.926774979,5.72153759,5.563266754,5.565654278,5.561828136,5.757247448
1710,5.946039677,5.751048565,5.621729374,5.61568594,5.593410969,5.792655945
1709,5.933699608,5.798323154,5.597075462,5.548890114,5.668557644,5.784290314
1708,5.910844803,5.777842045,5.600003719,5.621591091,5.560321331,5.842299938
1707,5.855001926,5.729551315,5.544565201,5.644335747,5.584949493,5.775477886
1706,6.018230915,5.831061363,5.681156635,5.721983433,5.653512001,5.851467133
1705,5.979411125,5.764154911,5.640805721,5.661493778,5.670166969,5.839832306
1704,5.950921059,5.749359131,5.61206913,5.632578373,5.602661133,5.80232048
1703,5.935870647,5.771212101,5.566139698,5.727179527,5.675991058,5.848890305
1702,6.021180153,5.803020954,5.646827221,5.625049591,5.603495121,5.820010185
1701,5.991306305,5.832738876,5.578292847,5.694834232,5.642769814,5.932110786
1700,6.022027969,5.846875191,5.706506252,5.759634018,5.669819355,5.926379204
1699,5.992157936,5.826997757,5.634460449,5.672627926,5.61961031,5.848598003
1698,5.993021965,5.778346539,5.650165081,5.636016369,5.602460861,5.871233463
1697,5.974644184,5.791341305,5.71074295,5.692588329,5.685670853,5.899372101
1696,6.02014637,5.85564518,5.693536758,5.7598176,5.704950333,5.914818287
1695,6.075947285,5.915915012,5.735573769,5.774769306,5.69794035,5.935873032
1694,6.043869019,5.832642555,5.706874371,5.716020107,5.776019573,5.897889137
1693,6.057985306,5.8932724,5.695189476,5.735584736,5.755079269,5.960474968
1692,5.950355053,5.835711002,5.660246849,5.710466385,5.679844856,5.892148495
1691,6.003489494,5.822613239,5.656538963,5.620401382,5.654918194,5.803549767
1690,5.975753784,5.867685318,5.689187527,5.73533392,5.662656784,5.892111301
1689,6.045715332,5.803117752,5.696494579,5.737364292,5.670815945,5.869657993
1688,5.956936836,5.785762787,5.707164764,5.732761383,5.664640903,5.90032196
1687,6.081447601,5.844194412,5.671839714,5.672097206,5.68264389,5.874780178
1686,5.939572334,5.793013096,5.653356552,5.699662685,5.6594944,5.818778515
1685,6.042586803,5.873229504,5.732316494,5.749397278,5.66888237,5.855555534
1684,5.905040264,5.808506012,5.598928928,5.631718636,5.642840862,5.78179884
1683,5.915131569,5.758981705,5.527808666,5.617346764,5.671384335,5.862871647
1682,5.94770813,5.767386913,5.697462559,5.658438206,5.600069046,5.822109222
1681,5.945516586,5.736424446,5.642689705,5.693990231,5.589624405,5.866415501
1680,5.942667484,5.787230492,5.576089859,5.609810829,5.579606056,5.760391712
1679,5.868710041,5.709733486,5.513224602,5.612915993,5.569387436,5.774570465
1678,5.872667789,5.713529587,5.538890362,5.613820553,5.525313377,5.799396515
1677,5.912230968,5.714431286,5.591762066,5.590323925,5.593234539,5.791684628
1676,5.948665142,5.766969681,5.626185417,5.632833004,5.553821564,5.799351215
1675,5.979698658,5.786607742,5.60043478,5.62402153,5.605931282,5.855695248
1674,6.011838913,5.838423729,5.700034142,5.677588463,5.657924652,5.847969532
1673,5.937363148,5.744245529,5.642640591,5.696773529,5.641300201,5.832541466
1672,6.015892029,5.887801647,5.721943378,5.729741096,5.691576958,5.866848946
1671,6.09436512,5.958910942,5.750899792,5.714254379,5.729413986,5.921554565
1670,5.981790066,5.852582455,5.696404934,5.697805882,5.639447689,5.876689911
1669,6.063092232,5.884326458,5.747196198,5.770710468,5.71321106,5.915859222
1668,6.12547493,5.933968544,5.779036999,5.82815361,5.781552315,5.947404385
1667,6.066685677,5.996557713,5.873172283,5.875817776,5.829935551,6.039342403
1666,6.22649622,6.093531609,5.910693645,5.988191605,5.953495502,6.039580345
1665,6.276033878,6.112432003,5.971396446,6.094201088,5.986702919,6.170992851
1664,6.392146587,6.239869118,6.082858086,6.113371849,6.023932457,6.22133255
1663,6.365983963,6.252376556,6.155955315,6.171906948,6.078779221,6.181629658
1662,6.413090229,6.291736603,6.147582054,6.218200684,6.203928947,6.277425766
1661,6.591881275,6.415477276,6.259607315,6.302913189,6.273280144,6.351367474
1660,6.608699799,6.53219223,6.373540878,6.440538883,6.410282135,6.491944313
1659,6.687208176,6.588564873,6.428864479,6.394460678,6.37184906,6.52447176
1658,6.795115948,6.702706814,6.511261463,6.564581394,6.496079922,6.594312191
1657,6.937918186,6.801680565,6.662117481,6.614585876,6.586339474,6.676647186
1656,6.976373672,6.927190781,6.790743828,6.80242157,6.774982929,6.847278595
1655,7.0644207,7.025285721,6.832481384,6.901632309,6.851376534,6.875978947
1654,7.237792015,7.176767826,7.011286259,7.010065556,6.96177721,7.020127773
1653,7.317183018,7.278596401,7.080434799,7.106093884,7.116387844,7.078035831
1652,7.38692379,7.377052307,7.207070351,7.246478558,7.197169781,7.235530853
1651,7.493349075,7.465288639,7.299540043,7.287243843,7.294505119,7.24098444
1650,7.519311428,7.528110027,7.341473579,7.410579205,7.337536812,7.32933712
1649,7.739013672,7.720134258,7.499702454,7.572747231,7.563659668,7.44630003
1648,7.774139881,7.822428703,7.604950905,7.613678455,7.620588779,7.580269337
1647,7.839546204,7.825479507,7.68504715,7.66715765,7.724318027,7.673710823
1646,7.921422482,7.986268997,7.715265274,7.78713131,7.76515007,7.688453674
1645,7.959432125,8.043066978,7.892676353,7.868869781,7.892283916,7.853003502
1644,8.012974739,8.076185226,7.934387207,8.008934975,7.912868977,7.785130501
