Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2022-01-29,2022-01-31,2763,MR LUCKYS,Dining,110.00,
2022-01-30,2022-01-31,2763,COMCAST CALIFORNIA,Phone/Cable,73.23,
2022-01-27,2022-01-27,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,454.29
2022-01-25,2022-01-26,2763,TRADER JOE'S #123  QPS,Merchandise,28.32,
2022-01-23,2022-01-25,1975,SAFEWAY #0917,Merchandise,28.44,
2022-01-24,2022-01-25,2763,TST* THE RAKE AT ADMIR,Dining,132.17,
2022-01-24,2022-01-25,2763,TST* LOKANTA GRILL & B,Dining,30.23,
2022-01-24,2022-01-24,2763,TST* SAUCED BBQ & SPIR,Dining,50.86,
2022-01-23,2022-01-24,2763,TOYO SUSHI JAPANESE,Dining,61.22,
2022-01-22,2022-01-24,2763,JIFFY LUBE #2335,Gas/Automotive,73.74,
2022-01-19,2022-01-20,1975,ANDOIL,Gas/Automotive,49.31,
2022-01-19,2022-01-19,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,479.85
2022-01-17,2022-01-18,1975,WALGREENS #4026,Health Care,45.23,
2022-01-15,2022-01-17,1975,MCP S TAPHOUSE GRILL,Dining,21.50,
2022-01-16,2022-01-17,2763,HEIDIS PANCAKE HOUSE,Dining,38.19,
2022-01-15,2022-01-17,2763,REVIVE COFFEE & WINE,Dining,12.65,
2022-01-15,2022-01-17,2763,MCP S TAPHOUSE GRILL,Dining,86.75,
2022-01-15,2022-01-17,2763,76 - DBA SEI 42085,Gas/Automotive,48.22,
2022-01-14,2022-01-17,2763,SAFEWAY #0917,Merchandise,33.33,
2022-01-14,2022-01-15,1975,TST* JUPITER PIZZA & B,Dining,13.82,
2022-01-12,2022-01-14,1975,SHELL OIL 57444481907,Gas/Automotive,60.64,
2022-01-09,2022-01-10,2763,TRADER JOE'S #123  QPS,Merchandise,17.27,
2022-01-07,2022-01-10,2763,OCEAN BEACH BREWERY,Dining,32.31,
2022-01-08,2022-01-10,2763,TONYS CAFE,Dining,21.05,
2022-01-07,2022-01-08,2763,OB NOODLE HOUSE,Dining,48.89,
2022-01-07,2022-01-07,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,692.60
2022-01-05,2022-01-06,2763,TST* JAMBA JUICE - 145,Dining,14.58,
2022-01-04,2022-01-05,2763,MIKKO SUSHI,Dining,35.52,
2022-01-03,2022-01-05,2763,BRICKWORKS,Dining,30.13,
2022-01-04,2022-01-05,2763,CHEVRON 0385454,Gas/Automotive,44.86,
2022-01-02,2022-01-05,2763,LA BONITA'S,Dining,44.56,
2022-01-03,2022-01-05,2763,CLUB LIQUOR,Merchandise,25.43,
2022-01-02,2022-01-03,2763,JOSHUA TREE NATIONAL P,Other Services,30.00,
2022-01-01,2022-01-03,2763,JOSHUA GAS,Gas/Automotive,35.86,
2021-12-31,2022-01-03,1975,THE HOME DEPOT 674,Merchandise,100.31,
2022-01-01,2022-01-03,2763,STATERBROS105,Merchandise,11.43,
2022-01-01,2022-01-03,2763,Pappy's & Harriet's,Dining,44.64,
2021-12-31,2022-01-03,2763,VONS #2053,Merchandise,105.62,
2021-12-30,2021-12-30,2763,COMCAST CALIFORNIA,Phone/Cable,70.23,
2021-12-27,2021-12-28,2763,JAI HO-INDIANGULLY,Dining,18.30,
2021-12-27,2021-12-28,2763,TARGET        00009175,Merchandise,49.79,
2021-12-25,2021-12-27,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,295.39
2021-12-24,2021-12-27,1975,KROGER #483,Merchandise,31.34,
2021-12-22,2021-12-24,1975,ULTA #799,Merchandise,11.76,
2021-12-22,2021-12-23,2763,BEVERAGES & MORE #70,Merchandise,71.75,
2021-12-22,2021-12-23,2763,WALGREENS #15078,Health Care,157.98,
2021-12-21,2021-12-21,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,600.94
2021-12-20,2021-12-21,1975,ANDOIL,Gas/Automotive,53.90,
2021-12-19,2021-12-20,1975,TARGET        00012088,Merchandise,26.54,
2021-12-18,2021-12-20,1975,OPA AUTHENTIC GREEK CU,Dining,191.34,
2021-12-18,2021-12-20,2763,TARGET        00012088,Merchandise,3.99,
2021-12-18,2021-12-20,2763,TARGET        00012088,Merchandise,,76.13
2021-12-16,2021-12-17,1975,BART-CLIPPER WALNUT CR,Other Travel,20.00,
2021-12-15,2021-12-17,2763,FARM PROVISIONS,Dining,100.00,
2021-12-15,2021-12-16,2763,TARGET        00012088,Merchandise,76.13,
2021-12-12,2021-12-14,2763,SOUTH BEACH BAR AND GR,Dining,103.89,
2021-12-13,2021-12-14,2763,TRADER JOE'S #123  QPS,Merchandise,16.03,
2021-12-12,2021-12-14,2763,SHELL OIL 57444476600,Gas/Automotive,60.16,
2021-12-11,2021-12-13,2763,STUMP'S MARKET,Merchandise,6.99,
2021-12-09,2021-12-09,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,446.72
2021-12-07,2021-12-09,2763,60776-SFO PREPAID PARK,Gas/Automotive,72.00,
2021-12-07,2021-12-08,2763,TRADER JOE'S #123  QPS,Merchandise,34.93,
2021-12-05,2021-12-06,2763,TST* BIERHAUS - WALNUT,Dining,75.97,
2021-12-04,2021-12-06,2763,OL BEERCAFE,Dining,36.00,
2021-12-04,2021-12-06,2763,SAFEWAY #0917,Merchandise,6.83,
2021-11-30,2021-12-01,2763,TRADER JOE'S #123  QPS,Merchandise,18.20,
2021-11-30,2021-12-01,1975,CHEVRON 0205756,Gas/Automotive,66.43,
2021-11-27,2021-11-30,1975,THE RUTH BANCROFT GARD,Merchandise,21.75,
2021-11-30,2021-11-30,2763,COMCAST CALIFORNIA,Phone/Cable,70.23,
2021-11-28,2021-11-29,2763,TST* BRODERICKS ROADHO,Dining,61.11,
2021-11-25,2021-11-26,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,440.83
2021-11-24,2021-11-26,1975,SAFEWAY #0917,Merchandise,1.99,
2021-11-25,2021-11-26,2763,WALGREENS #5365,Health Care,5.99,
2021-11-23,2021-11-26,1975,SAFEWAY #0936,Merchandise,47.29,
2021-11-23,2021-11-24,2763,SKIPOLINIS PIZZA,Dining,199.42,
2021-11-22,2021-11-24,1975,HOBBY-LOBBY #564,Merchandise,70.37,
2021-11-20,2021-11-22,2763,SAFEWAY #3026,Merchandise,116.25,
2021-11-20,2021-11-22,2763,TARGET        00012088,Merchandise,11.01,
2021-11-20,2021-11-22,2763,TEXACO 0384492,Gas/Automotive,43.78,
2021-11-20,2021-11-20,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,1188.42
2021-11-18,2021-11-19,1975,TARGET        00012088,Merchandise,3.09,
2021-11-17,2021-11-18,1975,ANDOIL,Gas/Automotive,60.55,
2021-11-14,2021-11-16,1975,CRATE & BARREL 416,Merchandise,976.17,
2021-11-12,2021-11-15,1975,SAFEWAY #0917,Merchandise,36.41,
2021-11-13,2021-11-15,2763,TRADER JOE'S #123  QPS,Merchandise,30.56,
2021-11-11,2021-11-13,2763,Montecatini Ristorante,Dining,9.23,
2021-11-12,2021-11-13,2763,TST* LOKANTA GRILL & B,Dining,27.62,
2021-11-11,2021-11-12,2763,CENTURY THEATRES 466,Entertainment,26.50,
