Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2021-06-20,2021-06-21,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,490.66
2021-06-18,2021-06-21,2763,MIGUEL'S COCINA,Dining,53.10,
2021-06-18,2021-06-21,2763,MTS,Other Travel,5.00,
2021-06-17,2021-06-18,1975,RALPHS #0201,Merchandise,19.22,
2021-06-17,2021-06-18,2763,TST* THE PRESLEY,Dining,62.07,
2021-06-17,2021-06-18,2763,TST* BOTTLECRAFT LIBER,Dining,17.88,
2021-06-13,2021-06-15,1975,AVILAS EL RANCHITO SAN,Dining,54.18,
2021-06-13,2021-06-15,1975,FISHERMANS RESTAURANT,Dining,21.63,
2021-06-13,2021-06-14,1975,TST* HH COTTONS,Dining,65.93,
2021-06-11,2021-06-14,2763,OCEAN BEACH BREWERY,Dining,11.00,
2021-06-12,2021-06-14,2763,STUMP'S MARKET,Merchandise,25.72,
2021-06-12,2021-06-14,2763,TST* CATALINA LOUNGE,Dining,29.50,
2021-06-12,2021-06-14,2763,TST* LONG STORY IRISH,Dining,20.50,
2021-06-12,2021-06-14,2763,THE REUNION PUB.,Dining,26.32,
2021-06-12,2021-06-12,2763,TST* WONDERLAND OCEAN,Dining,27.61,
2021-06-06,2021-06-07,2763,BALBOA GOLF 14881,Entertainment,87.00,
2021-06-03,2021-06-04,2763,RITE AID 05647,Health Care,12.16,
2021-06-02,2021-06-04,2763,STUMP'S MARKET,Merchandise,9.94,
2021-06-02,2021-06-02,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,469.65
2021-05-29,2021-05-31,2763,THE REUNION PUB.,Dining,13.92,
2021-05-30,2021-05-31,2763,COMCAST CALIFORNIA,Phone/Cable,50.22,
2021-05-29,2021-05-31,2763,VONS #2053,Merchandise,64.12,
2021-05-24,2021-05-27,2763,SOUTH BEACH BAR AND GR,Dining,19.59,
2021-05-23,2021-05-25,2763,COTIJAS COCINA MEXICAN,Dining,7.81,
2021-05-23,2021-05-24,2763,SQ *OLD DEVIL MOON SF,Dining,34.70,
2021-05-16,2021-05-17,2763,TARGET        00012088,Merchandise,10.58,
2021-05-15,2021-05-17,1975,SQ *CANCUN SABOR MEXIC,Dining,8.10,
2021-05-15,2021-05-17,1975,SQ *CANCUN SABOR MEXIC,Dining,16.18,
2021-05-15,2021-05-17,2763,MR LUCKYS,Dining,37.00,
2021-05-14,2021-05-17,2763,RETRO JUNKIE,Dining,72.74,
2021-05-15,2021-05-17,2763,CITY OF BERKELEY- IPS,Gas/Automotive,7.00,
2021-05-15,2021-05-17,2763,SQ *CANCUN SABOR MEXIC,Dining,20.04,
2021-05-15,2021-05-17,2763,SQ *SHADOWBROOK WINERY,Merchandise,48.71,
2021-05-13,2021-05-15,1975,FOODMAXX #480 BRENTW,Merchandise,41.94,
2021-05-12,2021-05-14,2763,MR LUCKYS,Dining,17.00,
2021-05-12,2021-05-12,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,516.26
2021-05-07,2021-05-10,2763,MR LUCKYS,Dining,17.00,
2021-05-08,2021-05-10,2763,TST* LIMON - WALNUT CR,Dining,87.77,
2021-05-08,2021-05-10,2763,SAMSCLUB #6612,Merchandise,106.86,
2021-05-08,2021-05-08,2763,CENTURY THEATRES 466,Entertainment,28.00,
2021-05-08,2021-05-08,2763,CENTURY THEATRES 466,Entertainment,4.25,
2021-05-03,2021-05-05,2763,SAFEWAY #0917,Merchandise,21.76,
2021-05-02,2021-05-04,2763,MAINSTKITCHEN_1,Dining,52.58,
2021-05-01,2021-05-03,1975,SAFEWAY #0917,Merchandise,26.24,
2021-05-01,2021-05-03,2763,TARGET        00012088,Merchandise,35.57,
2021-04-30,2021-05-01,1975,ANDOIL,Gas/Automotive,7.99,
2021-04-30,2021-04-30,2763,COMCAST CALIFORNIA,Phone/Cable,50.22,
2021-04-27,2021-04-28,1975,ANDOIL,Gas/Automotive,50.57,
2021-04-27,2021-04-28,2763,TARGET        00012088,Merchandise,9.47,
2021-04-26,2021-04-26,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,551.85
2021-04-25,2021-04-26,2763,MR PICKLES - 312,Dining,17.98,
2021-04-23,2021-04-24,2763,CHEVRON 0379850,Gas/Automotive,33.16,
2021-04-22,2021-04-24,2763,SHELL OIL 57444679609,Gas/Automotive,68.26,
2021-04-22,2021-04-24,2763,SAFEWAY #3026,Merchandise,38.30,
2021-04-20,2021-04-21,1975,SAMS CLUB #6612,Merchandise,62.81,
2021-04-20,2021-04-21,2763,TARGET        00012088,Merchandise,4.84,
2021-04-17,2021-04-19,2763,FLYERS WALNUT CREEK,Gas/Automotive,64.89,
2021-04-17,2021-04-19,2763,ANDOIL,Gas/Automotive,55.26,
2021-04-16,2021-04-17,2763,WHOLEFDS YVR#10548,Merchandise,13.36,
2021-04-13,2021-04-14,2763,TARGET        00012088,Merchandise,29.96,
2021-04-09,2021-04-12,1975,ARCO#83424CONCORD AQPS,Gas/Automotive,55.17,
2021-04-10,2021-04-12,1975,TRADER JOE'S #083  QPS,Merchandise,13.81,
2021-04-10,2021-04-12,2763,SQ *TAMALES EL TIO SAN,Dining,21.00,
2021-04-07,2021-04-09,1975,SAFEWAY #3026,Merchandise,21.66,
2021-04-05,2021-04-07,1975,7-ELEVEN 38737,Gas/Automotive,69.37,
2021-04-06,2021-04-06,2763,CAPITAL ONE MOBILE PYMT,Payment/Credit,,383.99
2021-04-04,2021-04-05,1975,TRADER JOE'S #123  QPS,Merchandise,20.58,
2021-04-03,2021-04-05,1975,BED BATH & BEYOND #261,Merchandise,,87.39
2021-04-04,2021-04-05,1975,SQ *EAST BAY BAKERY,Dining,11.50,
2021-04-02,2021-04-05,2763,SAFEWAY #0917,Merchandise,28.46,
2021-04-03,2021-04-05,2763,CENTURY THEATRES 466,Entertainment,28.00,
2021-04-04,2021-04-05,2763,CENTURY THEATRES 466,Entertainment,4.75,
2021-04-01,2021-04-02,1975,BEVERAGES & MORE #70,Merchandise,23.91,

